10355 64
1054.69995117 3177.17993164 116.75199890
1054.76000977 3177.84008789 116.74400330
1054.63000488 3177.13989258 116.74900055
1054.61999512 3177.10009766 116.74900055
1054.56994629 3176.96997070 116.51399994
1054.55004883 3176.89990234 116.51300049
1053.90002441 3177.55004883 116.15000153
1053.85998535 3177.66992188 116.22299957
1053.84997559 3177.62988281 116.22299957
1053.82995605 3177.55004883 116.22299957
1053.82995605 3177.59008789 116.22200012
1053.80004883 3177.51000977 116.22100067
1053.79003906 3177.58007812 116.29599762
1053.77001953 3177.50000000 116.29599762
1053.78002930 3177.64990234 116.29399872
1053.75000000 3177.45996094 116.29599762
1053.76000977 3177.55004883 116.29499817
1053.72998047 3177.39990234 116.29499817
1053.72998047 3177.41992188 116.29499817
1055.16003418 3177.13989258 116.69799805
1054.78002930 3177.77001953 116.74600220
1053.79003906 3177.62988281 116.29599762
1054.72998047 3177.22998047 116.75199890
1054.81005859 3177.39990234 116.75399780
1055.15002441 3177.11010742 116.69799805
1054.81005859 3177.68994141 116.74900055
1055.13000488 3177.09008789 116.69699860
1055.10998535 3177.05004883 116.69699860
1055.04003906 3176.98999023 116.69400024
1055.04003906 3176.94995117 116.69400024
1054.92004395 3176.93994141 116.62300110
1054.85998535 3177.42993164 116.75499725
1054.83996582 3177.46997070 116.75399780
1055.09997559 3177.02001953 116.69699860
1054.82995605 3177.55004883 116.75199890
1054.78002930 3177.26000977 116.75399780
1054.82995605 3177.51000977 116.75299835
1054.81994629 3177.61010742 116.75000000
1054.81005859 3177.64990234 116.74900055
1054.81994629 3177.72998047 116.74900055
1054.78002930 3177.34008789 116.75299835
1054.82995605 3177.59008789 116.75099945
1054.80004883 3177.30004883 116.75499725
1054.81005859 3177.37988281 116.75399780
10353 147
1055.19995117 3177.52001953 116.67700195
1055.22998047 3177.76000977 116.67500305
1055.17004395 3177.22998047 116.68000031
1055.19995117 3177.47998047 116.67800140
1055.20996094 3177.55004883 116.67700195
1055.21997070 3177.63989258 116.67700195
1055.22998047 3177.66992188 116.67600250
1055.19995117 3177.33007812 116.68000031
1055.18005371 3177.26000977 116.68000031
1055.21997070 3177.60009766 116.67700195
1055.18994141 3177.29003906 116.68000031
1055.20996094 3177.37988281 116.68000031
1055.29003906 3177.93994141 116.59899902
1055.22998047 3177.44995117 116.68000031
1055.18005371 3177.41992188 116.67800140
1055.22998047 3177.36010742 116.68199921
1055.19995117 3177.57006836 116.67700195
1055.10998535 3177.08007812 116.67900085
1055.23999023 3177.83007812 116.67400360
1055.21997070 3177.73999023 116.67500305
1055.36999512 3177.73999023 116.60800171
1055.06005859 3176.79003906 116.54799652
1055.07995605 3177.01000977 116.67700195
1055.07995605 3177.05004883 116.67700195
1055.19995117 3177.93994141 116.66999817
1055.08996582 3176.71997070 116.55100250
1055.08996582 3176.77001953 116.60399628
1055.19995117 3177.89990234 116.67099762
1055.19995117 3177.80004883 116.67199707
1055.11999512 3177.11010742 116.67900085
1055.13000488 3177.14990234 116.67900085
1055.22998047 3177.86010742 116.67299652
1055.15002441 3177.17993164 116.68000031
1055.16003418 3177.19995117 116.67900085
1055.21997070 3177.70996094 116.67500305
1055.35998535 3177.71997070 116.60800171
1056.77001953 3176.78002930 116.03299713
1055.40002441 3177.89990234 116.60700226
1056.60998535 3176.87011719 116.13999939
1056.76000977 3176.78002930 115.70400238
1056.88000488 3177.55004883 115.70200348
1056.77001953 3176.81005859 116.03299713
1056.77001953 3176.71997070 116.03399658
1056.77001953 3176.75000000 116.03399658
1056.80004883 3176.75000000 115.99600220
1056.80004883 3176.70996094 115.99700165
1056.81994629 3176.71997070 115.99900055
1056.82995605 3176.78002930 115.99900055
1056.84997559 3176.73999023 115.93599701
1057.00000000 3177.40991211 115.64499664
1057.03002930 3177.37988281 115.65299988
1056.72998047 3177.62988281 115.67500305
1056.71997070 3177.62988281 115.51899719
1055.06005859 3177.33007812 116.73100281
1056.81994629 3177.59008789 115.69100189
1056.59997559 3176.86010742 116.07299805
1055.41003418 3177.87011719 116.60800171
1056.59997559 3176.83007812 116.07299805
1055.35998535 3177.29003906 116.56199646
1056.26000977 3177.76000977 115.69000244
1056.30004883 3176.90991211 116.20700073
1056.31005859 3176.98999023 116.20700073
1056.31005859 3176.93994141 116.20800018
1056.31994629 3176.94995117 116.20800018
1056.39001465 3176.88989258 116.16200256
1056.56994629 3177.70996094 115.64499664
1056.42004395 3176.91992188 116.16500092
1056.43005371 3176.94995117 116.16500092
1056.69995117 3177.64990234 115.66899872
1056.58996582 3176.87988281 116.07099915
1056.57995605 3176.82006836 116.13800049
1056.58996582 3176.80004883 116.07199860
1056.58996582 3176.85009766 116.13800049
1055.07995605 3177.50000000 116.73000336
1055.03002930 3177.82006836 116.72200012
1055.03002930 3177.00000000 116.67500305
1054.03002930 3178.02001953 116.74199677
1054.05004883 3177.34008789 116.75199890
1054.11999512 3177.92993164 116.74700165
1054.17004395 3177.87988281 116.75000000
1054.10998535 3177.37011719 116.75499725
1054.13000488 3177.40991211 116.75499725
1054.19995117 3177.84008789 116.75199890
1054.22998047 3177.81005859 116.75399780
1054.23999023 3177.77001953 116.75499725
1054.20996094 3177.41992188 116.75900269
1054.25000000 3177.73999023 116.75599670
1054.26000977 3177.69995117 116.75800323
1054.23999023 3177.48999023 116.75900269
1054.23999023 3177.44995117 116.76000214
1054.28002930 3177.65991211 116.75900269
1054.29003906 3177.62011719 116.76000214
1054.09997559 3177.96997070 116.74500275
1053.97998047 3178.06005859 116.73799896
1054.28002930 3177.52001953 116.76100159
1053.86999512 3177.56005859 116.22399902
1053.70996094 3177.36010742 116.28700256
1053.71997070 3177.41992188 116.28700256
1055.07995605 3177.59008789 116.72799683
1053.73999023 3177.44995117 116.28800201
1053.78002930 3177.65991211 116.28800201
1053.76000977 3177.48999023 116.28900146
1053.78002930 3177.53002930 116.29000092
1053.79003906 3177.62011719 116.28900146
1053.79003906 3177.57006836 116.29000092
1053.81994629 3177.55004883 116.13999939
1053.81994629 3177.57006836 116.13999939
1053.83996582 3177.61010742 116.14099884
1053.88000488 3178.10009766 116.73300171
1053.85998535 3177.53002930 116.22299957
1053.92004395 3178.16992188 116.73300171
1054.29003906 3177.60009766 116.76000214
1053.79003906 3177.60009766 116.29000092
1054.29003906 3177.56005859 116.76100159
1055.00000000 3177.23999023 116.72899628
1055.06005859 3177.70996094 116.72499847
1055.06005859 3177.68994141 116.72599792
1054.98999023 3176.92993164 116.67299652
1055.06005859 3177.65991211 116.72599792
1055.00000000 3176.96997070 116.67299652
1055.03002930 3177.29003906 116.73000336
1055.03002930 3177.28002930 116.73000336
1055.11999512 3177.96997070 116.66400146
1055.06994629 3177.62011719 116.72699738
1055.05004883 3177.42993164 116.72899628
1055.04003906 3177.36010742 116.73000336
1055.06005859 3177.46997070 116.72899628
1055.06994629 3177.52001953 116.72899628
1054.44995117 3176.90991211 116.50099945
1055.05004883 3177.39990234 116.73000336
1054.97998047 3176.89990234 116.67299652
1055.06005859 3177.55004883 116.72799683
1054.98999023 3177.20996094 116.72899628
1054.98999023 3177.87011719 116.71900177
1054.90002441 3178.01000977 116.71199799
1054.92004395 3177.96997070 116.71299744
1055.04003906 3177.75000000 116.72399902
1054.48999023 3176.97998047 116.50299835
1054.97998047 3177.91992188 116.71700287
1054.88000488 3177.06005859 116.72499847
1054.86999512 3177.03002930 116.72499847
1054.92004395 3177.09008789 116.72599792
1055.02001953 3177.79003906 116.72200012
1054.96997070 3177.17993164 116.72799683
1054.96997070 3177.13989258 116.72899628
1054.59997559 3176.98999023 116.56700134
1054.94995117 3177.11010742 116.72799683
10352 230
1055.52001953 3177.89990234 116.57199860
1055.35998535 3177.72998047 116.67600250
1055.56005859 3178.07006836 116.15699768
1055.43994141 3177.55004883 116.68399811
1055.56994629 3177.89990234 116.52100372
1055.36999512 3177.47998047 116.68000031
1055.57995605 3177.87011719 116.57800293
1055.58996582 3178.09008789 116.11100006
1055.36999512 3177.54003906 116.67900085
1055.33996582 3177.51000977 116.67800140
1055.45996094 3178.11010742 116.14399719
1055.56005859 3178.07006836 115.73300171
1055.33996582 3177.71997070 116.67500305
1055.33996582 3177.59008789 116.67700195
1055.33996582 3177.64990234 116.67600250
1055.33996582 3177.62011719 116.67600250
1055.34997559 3177.82006836 116.67400360
1055.34997559 3177.88989258 116.67400360
1055.35998535 3177.90991211 116.62500000
1055.32995605 3177.68994141 116.67500305
1055.32995605 3177.82006836 116.62400055
1055.33996582 3177.89990234 116.67199707
1055.76000977 3177.87988281 116.41899872
1055.31994629 3177.79003906 116.62400055
1055.31005859 3177.76000977 116.62300110
1055.75000000 3177.97998047 116.23699951
1056.15002441 3177.84008789 116.18599701
1055.79003906 3178.01000977 116.24099731
1056.21997070 3177.80004883 116.19599915
1056.90002441 3177.53002930 115.66699982
1055.30004883 3177.94995117 116.62000275
1056.91003418 3177.51000977 115.67099762
1056.92004395 3177.47998047 115.67400360
1056.84997559 3176.75000000 115.88400269
1056.84997559 3176.72998047 115.88500214
1056.98999023 3177.44995117 115.68699646
1056.83996582 3177.58007812 115.86399841
1056.76000977 3177.62988281 115.84899902
1056.61999512 3177.65991211 116.02999878
1056.46997070 3177.70996094 115.88500214
1056.33996582 3177.79003906 116.04900360
1056.17004395 3177.85009766 116.06400299
1055.75000000 3177.86010742 116.48000336
1056.05004883 3177.81005859 116.39199829
1056.07995605 3177.87988281 116.17700195
1056.03002930 3177.90991211 116.00199890
1055.95996094 3177.91992188 116.26200104
1055.96997070 3177.93994141 116.03399658
1056.03002930 3177.86010742 115.49099731
1055.92004395 3177.92993164 116.08999634
1055.81005859 3177.86010742 116.42500305
1055.83996582 3178.06005859 116.30300140
1055.79003906 3177.83007812 116.48400116
1055.81994629 3177.97998047 116.30300140
1055.81994629 3177.97998047 116.07599640
1055.27001953 3177.75000000 116.62100220
1054.95996094 3177.57006836 116.77799988
1055.19995117 3177.37011719 116.79299927
1055.22998047 3177.94995117 116.66400146
1055.03002930 3178.16992188 116.34300232
1054.93005371 3177.61010742 116.77600098
1054.93005371 3177.54003906 116.77700043
1055.02001953 3177.87011719 116.34899902
1055.01000977 3177.69995117 116.35099792
1055.02001953 3177.98999023 116.72100067
1055.05004883 3177.81005859 116.35299683
1055.04003906 3177.72998047 116.35399628
1055.10998535 3178.17993164 116.28800201
1055.06005859 3177.94995117 116.72399902
1055.06005859 3177.76000977 116.35500336
1055.06005859 3177.93994141 116.72499847
1055.07995605 3177.79003906 116.35600281
1055.06005859 3177.66992188 116.48200226
1055.06994629 3177.69995117 116.48200226
1055.11999512 3177.83007812 116.23000336
1055.09997559 3177.82006836 116.48300171
1055.16003418 3178.09008789 116.29499817
1055.11999512 3177.70996094 116.29900360
1055.14001465 3178.00000000 116.65699768
1055.14001465 3177.79003906 116.29900360
1055.10998535 3177.80004883 116.72899628
1055.11999512 3177.83007812 116.72899628
1055.15002441 3177.82006836 116.30000305
1056.73999023 3176.80004883 116.06800079
1054.92004395 3177.66992188 116.77500153
1054.96997070 3178.06005859 116.64499664
1054.92004395 3177.71997070 116.77400208
1054.04003906 3178.19995117 116.24800110
1055.15002441 3177.59008789 116.73400116
1055.13000488 3177.51000977 116.73400116
1055.13000488 3177.47998047 116.73400116
1055.13000488 3177.54003906 116.73400116
1055.14001465 3177.64990234 116.73300171
1055.11999512 3177.41992188 116.73400116
1055.13000488 3177.62011719 116.73300171
1055.10998535 3177.39990234 116.73400116
1053.73999023 3177.58007812 116.78299713
1053.81994629 3177.86010742 116.78399658
1054.02001953 3178.37011719 116.71600342
1054.28002930 3178.32006836 116.59500122
1054.86999512 3177.83007812 116.76999664
1054.29003906 3178.29003906 116.67299652
1054.31994629 3178.25000000 116.73400116
1054.42004395 3178.22998047 116.68199921
1054.64001465 3178.11010742 116.75299835
1054.63000488 3178.08007812 116.75299835
1054.68005371 3178.13989258 116.69899750
1054.69995117 3178.03002930 116.75800323
1054.77001953 3177.98999023 116.76200104
1054.79003906 3178.09008789 116.70600128
1054.83996582 3177.89990234 116.76699829
1054.91003418 3178.12011719 116.58899689
1056.86999512 3177.56005859 115.66100311
1054.91003418 3177.68994141 116.77400208
1056.73999023 3176.77001953 116.06800079
1055.32995605 3177.79003906 116.67400360
1055.90002441 3177.93994141 115.69799805
1055.84997559 3177.95996094 115.78199768
1055.66003418 3177.85009766 116.52899933
1055.71997070 3178.00000000 115.66500092
1055.69995117 3178.01000977 115.75599670
1055.57995605 3178.08007812 115.86199951
1055.33996582 3177.44995117 116.67900085
1055.53002930 3178.06005859 115.63200378
1055.47998047 3178.12988281 115.84500122
1055.34997559 3177.76000977 116.67500305
1055.34997559 3177.85009766 116.67400360
1055.39001465 3178.12988281 115.70500183
1055.04003906 3177.13989258 116.73300171
1055.15002441 3177.37011719 116.73699951
1055.13000488 3177.58007812 116.73400116
1055.10998535 3177.34008789 116.73500061
1055.10998535 3177.44995117 116.73400116
1055.09997559 3177.31005859 116.73500061
1055.08996582 3177.25000000 116.73500061
1055.13000488 3177.75000000 116.73100281
1055.11999512 3177.71997070 116.73100281
1055.06994629 3177.22998047 116.73400116
1055.06994629 3177.28002930 116.73300171
1055.11999512 3177.77001953 116.73000336
1055.98999023 3177.91992188 115.80500031
1056.06005859 3177.88989258 115.72599792
1056.09997559 3177.82006836 115.65399933
1056.10998535 3177.85009766 115.65499878
1056.60998535 3176.84008789 116.14700317
1056.59997559 3176.87011719 116.14499664
1056.58996582 3176.79003906 116.14499664
1056.57995605 3176.82006836 116.14199829
1056.69995117 3177.63989258 115.69999695
1056.61999512 3177.67993164 115.68599701
1056.38000488 3176.95996094 116.17199707
1056.35998535 3176.89990234 116.23200226
1056.35998535 3176.88989258 116.23200226
1056.35998535 3176.92993164 116.23100281
1056.35998535 3176.95996094 116.23100281
1056.35998535 3176.88989258 116.17099762
1056.35998535 3176.94995117 116.16999817
1056.50000000 3177.72998047 115.66200256
1056.35998535 3176.91992188 116.16999817
1056.47998047 3177.71997070 115.72299957
1056.17004395 3177.03002930 116.25299835
1056.16003418 3177.00000000 116.25099945
1056.15002441 3176.96997070 116.25099945
1056.29003906 3177.78002930 115.68900299
1056.26000977 3177.78002930 115.76200104
1056.14001465 3177.83007812 115.73999786
1056.13000488 3177.86010742 115.73799896
1055.05004883 3177.19995117 116.73300171
1055.03002930 3177.16992188 116.73200226
1056.73999023 3176.79003906 116.06700134
1053.89001465 3177.72998047 116.78900146
1054.75000000 3177.09008789 116.77100372
1054.52001953 3177.01000977 116.57599640
1054.51000977 3176.96997070 116.57499695
1054.47998047 3176.93994141 116.57399750
1054.56005859 3178.13989258 116.74800110
1054.56005859 3178.18994141 116.69000244
1054.44995117 3178.18994141 116.74199677
1054.17004395 3178.31005859 116.72499847
1054.14001465 3178.21997070 116.18800354
1054.11999512 3178.18994141 116.18800354
1054.09997559 3178.36010742 116.66000366
1053.91003418 3177.56005859 116.17700195
1055.03002930 3177.08007812 116.73300171
1053.90002441 3177.54003906 116.17700195
1053.85998535 3177.77001953 116.78700256
1053.83996582 3177.80004883 116.78600311
1053.83996582 3177.84008789 116.78600311
1053.85998535 3177.66992188 116.23999786
1053.83996582 3177.63989258 116.23899841
1053.82995605 3177.60009766 116.23899841
1053.81994629 3177.57006836 116.23799896
1053.81994629 3177.55004883 116.23799896
1053.81005859 3177.52001953 116.23799896
1053.79003906 3177.89990234 116.78199768
1054.76000977 3177.05004883 116.77200317
1054.86999512 3177.86010742 116.76899719
1054.81005859 3177.12011719 116.77400208
1054.91003418 3178.04003906 116.71399689
1055.01000977 3177.11010742 116.73100281
1054.98999023 3177.05004883 116.73100281
1054.95996094 3177.03002930 116.72899628
1054.94995117 3177.00000000 116.72899628
1054.93994141 3176.96997070 116.72799683
1054.93005371 3177.42993164 116.77799988
1054.93005371 3177.45996094 116.77799988
1054.93994141 3177.48999023 116.77700043
1054.93994141 3177.51000977 116.77700043
1054.94995117 3177.63989258 116.77600098
1054.92004395 3177.37011719 116.77799988
1054.91003418 3177.34008789 116.77799988
1054.90002441 3177.32006836 116.77700043
1054.89001465 3177.29003906 116.77700043
1054.88000488 3177.21997070 116.77700043
1054.88000488 3177.26000977 116.77700043
1054.92004395 3177.76000977 116.77300262
1055.11999512 3177.68994141 116.73200226
1054.85998535 3177.18994141 116.77600098
1054.82995605 3177.15991211 116.77500153
1054.82995605 3177.14990234 116.77500153
1054.88000488 3177.79003906 116.77100372
1054.86999512 3177.50000000 116.27799988
1056.63000488 3176.81005859 116.11100006
1055.13000488 3177.75000000 116.48699951
1056.72998047 3176.73999023 116.06700134
1056.77001953 3176.71997070 115.66200256
1056.81994629 3177.59008789 115.65000153
1056.68005371 3176.83007812 116.11900330
1056.65002441 3176.78002930 116.11499786
1056.64001465 3176.85009766 116.11199951
10351 340
1054.95996094 3178.33007812 116.05699921
1055.83996582 3178.02001953 116.22699738
1055.79003906 3177.95996094 116.12000275
1055.81005859 3178.00000000 116.02500153
1055.81994629 3178.16992188 116.22000122
1055.85998535 3177.95996094 115.85399628
1055.82995605 3178.08007812 116.22399902
1055.82995605 3178.05004883 116.22499847
1055.88000488 3177.97998047 115.97599792
1055.84997559 3178.10009766 116.22699738
1055.81005859 3177.87988281 116.38400269
1055.83996582 3177.97998047 115.76699829
1055.88000488 3178.13989258 116.27700043
1055.89001465 3178.11010742 116.27999878
1055.89001465 3177.98999023 116.28299713
1055.78002930 3178.00000000 116.22000122
1055.76000977 3178.02001953 115.75299835
1055.71997070 3177.88989258 116.42600250
1055.82995605 3177.93994141 115.55599976
1055.76000977 3178.00000000 115.83599854
1055.92004395 3177.97998047 116.19599915
1055.64001465 3177.90991211 116.41799927
1055.67004395 3177.98999023 116.20600128
1055.68005371 3178.05004883 115.94300079
1055.65002441 3178.06005859 116.03900146
1055.68005371 3177.98999023 115.52400208
1055.63000488 3178.06005859 115.72799683
1055.63000488 3178.04003906 115.65299988
1055.56994629 3178.09008789 115.92400360
1055.51000977 3178.11010742 115.97699738
1055.34997559 3177.70996094 116.65499878
1055.33996582 3177.70996094 116.61000061
1055.93994141 3177.94995117 115.98699951
1055.90002441 3177.83007812 116.33999634
1055.89001465 3177.83007812 116.39399719
1056.51000977 3177.72998047 115.76699829
1057.01000977 3177.39990234 115.87400055
1056.97998047 3177.46997070 115.80100250
1056.83996582 3177.44995117 116.03099823
1056.84997559 3177.61010742 115.68399811
1056.75000000 3177.65991211 115.66100311
1056.70996094 3177.63989258 115.86399841
1056.73999023 3177.62988281 115.66000366
1056.73999023 3177.67993164 115.65799713
1056.72998047 3177.64990234 115.52400208
1056.65002441 3177.66992188 115.85199738
1056.70996094 3177.67993164 115.51799774
1056.64001465 3177.67993164 115.72599792
1056.56005859 3177.60009766 116.09600067
1056.59997559 3177.69995117 115.78500366
1056.43994141 3177.75000000 115.95700073
1055.93994141 3177.92993164 116.04799652
1056.41003418 3177.76000977 115.67700195
1056.28002930 3177.83007812 115.84899902
1056.26000977 3177.82006836 115.92600250
1056.23999023 3177.79003906 115.71299744
1056.18005371 3177.83007812 115.76000214
1056.10998535 3177.87011719 116.01699829
1056.07995605 3177.86010742 116.10800171
1056.06005859 3177.88989258 116.10399628
1056.00000000 3177.83007812 116.30100250
1056.04003906 3177.89990234 115.88600159
1055.96997070 3177.86010742 116.14800262
1056.00000000 3177.90991211 115.72499847
1054.83996582 3177.96997070 116.72799683
1055.93994141 3178.05004883 116.19599915
1055.44995117 3178.13989258 115.90299988
1055.32995605 3177.76000977 116.65200043
1055.31994629 3177.68994141 116.60900116
1055.31994629 3177.79003906 116.65100098
1054.54003906 3178.45996094 116.04799652
1054.51000977 3178.40991211 116.22699738
1054.50000000 3178.46997070 115.92299652
1054.32995605 3178.28002930 116.63700104
1054.31994629 3178.27001953 116.69000244
1054.39001465 3178.50000000 116.02700043
1054.18994141 3177.88989258 116.75199890
1054.31005859 3178.50000000 116.13600159
1054.26000977 3178.41992188 116.38500214
1054.19995117 3178.32006836 116.68099976
1054.20996094 3178.37011719 116.50599670
1054.09997559 3177.95996094 116.74600220
1054.14001465 3178.51000977 116.24600220
1054.14001465 3178.57006836 116.18199921
1054.07995605 3178.55004883 116.23899841
1054.65002441 3178.37988281 115.64199829
1055.02001953 3178.27001953 115.70600128
1054.55004883 3178.18994141 116.65399933
1054.79003906 3178.36010742 115.96700287
1054.90002441 3178.31005859 115.98400116
1054.78002930 3178.07006836 116.72200012
1054.77001953 3178.04003906 116.72200012
1054.75000000 3178.11010742 116.66899872
1054.83996582 3178.32006836 115.67400360
1054.78002930 3178.36010742 116.08100128
1054.81005859 3178.37011719 115.79299927
1054.66003418 3178.40991211 115.94699860
1054.67004395 3178.14990234 116.66200256
1054.75000000 3178.38989258 115.85299683
1054.63000488 3178.13989258 116.71199799
1054.67004395 3178.34008789 116.24600220
1054.68994141 3178.39990234 116.12400055
1054.67004395 3178.42993164 116.01599884
1054.02001953 3178.16992188 116.24299622
1053.76000977 3178.46997070 116.65100098
1053.52001953 3178.58007812 116.57599640
1055.34997559 3178.15991211 115.67600250
1055.14001465 3177.75000000 116.70200348
1055.31005859 3178.17993164 115.75700378
1055.15002441 3177.56005859 116.70500183
1055.18994141 3177.97998047 116.59300232
1055.18994141 3177.77001953 116.48500061
1055.17004395 3177.65991211 116.70500183
1055.32995605 3178.18994141 115.88300323
1055.10998535 3177.72998047 116.30999756
1055.28002930 3177.95996094 116.59999847
1055.28002930 3177.91992188 116.64499664
1055.38000488 3178.13989258 116.05599976
1055.31005859 3177.89990234 116.64800262
1055.31005859 3177.82006836 116.65000153
1055.31994629 3177.84008789 116.65000153
1055.11999512 3177.79003906 116.30999756
1055.11999512 3177.86010742 116.30799866
1054.88000488 3177.87011719 116.73200226
1055.00000000 3178.12011719 116.51399994
1055.01000977 3178.30004883 115.89600372
1054.90002441 3177.87988281 116.73300171
1055.04003906 3178.28002930 116.00499725
1054.93005371 3177.80004883 116.73600006
1054.95996094 3178.03002930 116.68399811
1055.08996582 3178.28002930 115.84100342
1055.01000977 3178.13989258 116.46099854
1055.17004395 3178.25000000 115.92099762
1054.94995117 3177.63989258 116.73999786
1055.05004883 3178.16992188 116.34899902
1054.96997070 3177.55004883 116.74299622
1055.08996582 3178.17993164 116.29599762
1055.05004883 3178.03002930 116.62599945
1055.05004883 3177.98999023 116.69100189
1054.54003906 3178.17993164 116.70500183
1054.27001953 3178.38989258 116.44499969
1057.03002930 3177.27001953 115.66500092
1054.90002441 3176.93994141 116.69699860
1054.94995117 3177.70996094 116.73999786
1054.94995117 3177.73999023 116.73899841
1054.93994141 3177.66992188 116.73999786
1054.93994141 3177.69995117 116.73899841
1054.92004395 3177.26000977 116.74400330
1054.93994141 3177.77001953 116.73799896
1054.91003418 3177.21997070 116.74400330
1054.90002441 3177.15991211 116.74400330
1054.93005371 3177.83007812 116.73600006
1054.90002441 3177.18994141 116.74299622
1054.85998535 3177.11010742 116.74199677
1055.06005859 3177.13989258 116.70600128
1054.85998535 3177.13989258 116.74199677
1054.88000488 3178.07006836 116.67900085
1054.80004883 3177.08007812 116.73899841
1054.82995605 3178.00000000 116.72599792
1054.77001953 3177.07006836 116.73699951
1054.93994141 3178.32006836 115.81600189
1054.88000488 3178.34008789 115.87400055
